source_id,ra,dec,pmra,pmdec,parallax,parallax_error,phot_g_mean_mag
68227415219158912,54.764779,24.123598,-1.7,-10.1,1.4,0.1,12.8
68411068021053184,54.411337,24.307502,4.2,-2.9,1.6,0.1,13.9
68410415186022656,54.458819,24.316527,7.6,-4.6,1.0,0.0,14.5
68411308539219968,54.432885,24.344250,3.8,-4.0,0.8,0.1,15.9
68228235557421440,54.740613,24.143659,-0.1,-6.0,1.6,0.3,18.2
68246038197349248,54.546670,24.319645,5.9,-1.6,0.5,0.0,15.1
68240815517117952,54.743523,24.206966,1.9,-2.2,0.9,0.0,10.1
68382583798146944,55.372563,24.894373,33.3,-31.6,4.9,0.4,16.8
68176043114104320,54.915116,24.000171,5.4,-1.6,2.1,0.3,18.3
68382789956576256,55.357035,24.906287,0.3,-4.4,0.8,0.0,13.9
68242052467698688,54.656791,24.262523,4.6,-3.2,1.1,0.0,13.0
68381793524163968,55.416069,24.874872,21.7,-46.6,7.6,0.2,17.5
68278851748177536,55.396111,24.293071,-4.4,-4.4,0.8,0.1,17.3
68283004979684608,55.339484,24.362952,4.0,-1.7,1.9,0.2,18.5
68242052467699072,54.652681,24.252362,27.2,-13.8,1.8,0.0,14.7
68213289071210240,54.334534,24.084358,22.3,-16.2,3.4,0.3,18.3
68167762417163904,55.388890,24.015806,3.3,19.1,4.1,0.3,18.9
68382789956576000,55.361612,24.905673,2.9,-0.7,1.1,0.1,12.8
68409590552304768,54.431181,24.258916,20.9,-52.4,7.1,0.1,7.4
68245728959704960,54.557488,24.289806,6.3,-11.4,1.2,0.2,17.5
68337774402825984,55.384819,24.551634,2.9,-8.2,1.2,0.2,18.2
68242396065081344,54.758013,24.243366,0.1,-13.2,2.0,0.0,14.4
68410896222363264,54.331525,24.303075,1.8,-1.7,0.2,0.0,14.9
68386500808320256,55.268697,24.949576,4.3,2.8,0.9,0.1,15.5
68410793143148288,54.342081,24.286988,2.1,-2.0,0.3,0.1,15.9
68228446011309312,54.720681,24.155550,-16.6,-5.2,3.2,0.1,14.2
68409590552305152,54.440818,24.251630,6.9,0.5,2.1,0.0,15.1
68332006263315072,55.275187,24.493468,4.6,0.7,0.4,0.1,16.6
68242258626127360,54.668088,24.291775,3.4,1.2,0.6,0.1,15.9
68246965910282624,54.641066,24.326946,-1.9,-8.7,0.8,0.0,14.7
68335167359245312,55.190059,24.530938,4.2,-5.2,0.6,0.1,16.9
68228755248952064,54.775585,24.173791,0.2,-9.9,1.2,0.1,15.8
68382240200769280,55.314701,24.866983,3.9,2.0,1.1,0.1,16.8
68381037609926016,55.379419,24.836451,4.6,-3.1,0.8,0.1,16.3
68242602223511424,54.748348,24.249313,11.8,-14.9,0.9,0.1,16.0
68349353634764544,55.057550,24.633655,-0.9,-3.7,0.6,0.1,15.8
68223395129854336,54.853608,24.043363,6.1,-2.6,0.8,0.1,14.6
68355057351388672,55.223905,24.684057,4.1,-1.2,2.5,0.2,18.1
68382308920244736,55.311812,24.880929,-3.0,-9.0,1.5,0.1,15.5
68167659337942784,55.396984,24.003846,10.7,-15.1,1.8,0.3,17.9
68243770454614272,54.683053,24.307437,1.5,-1.2,0.4,0.1,16.3
68228686529476480,54.778954,24.159367,6.7,-4.6,0.8,0.1,16.1
68381071969663360,55.390707,24.842204,12.7,-6.5,2.0,0.1,16.2
68243426857230976,54.727458,24.281443,9.4,-32.4,1.3,0.1,15.5
68224013605145856,54.798231,24.064182,-5.0,-9.6,1.6,0.1,15.5
68245488441533824,54.629076,24.312821,4.5,1.1,0.9,0.0,14.2
68381278128093312,55.374326,24.852015,10.5,-14.3,2.2,0.1,16.0
68243495576707584,54.710741,24.290855,-2.2,2.1,0.6,0.1,16.5
68246278715516160,54.603207,24.325650,4.1,-6.8,0.7,0.1,15.3
68240471919738624,54.651825,24.179605,2.1,-26.7,0.8,0.0,15.1
68222742294826752,54.865234,24.025917,19.1,-17.0,3.3,0.0,10.2
68276957665653120,55.372036,24.234920,4.1,-6.8,1.7,0.2,18.1
68244526368864896,54.594170,24.230967,25.1,-28.2,2.8,0.0,13.7
68244835606510080,54.547217,24.259445,5.0,-3.1,0.6,0.1,15.3
68230404516391168,54.812915,24.210614,8.3,3.2,0.7,0.1,15.6
68230507595606656,54.790295,24.210783,11.5,1.7,1.2,0.2,17.7
68185187100853248,55.191496,24.153288,7.7,-11.1,1.2,0.0,10.4
68241537071627648,54.600245,24.214870,6.6,-8.2,0.8,0.1,15.3
68381656085213952,55.391067,24.857356,1.6,-5.9,0.5,0.1,15.3
68329807240072320,55.196189,24.415823,6.1,-5.4,0.7,0.1,15.5
68340630557623680,55.408948,24.644704,28.7,-41.7,3.7,0.1,16.8
68186660273373568,55.156957,24.239252,-2.4,-9.3,2.0,0.3,18.4
68176111833584896,54.901280,24.006430,34.4,-6.4,2.6,0.1,16.9
68240265761307392,54.696572,24.178029,5.4,-13.7,1.6,0.0,14.8
68329906022598016,55.205868,24.415571,-2.8,3.1,1.0,0.1,17.6
